Cod_ONS;Nome_arq_PMO;Nome_boletim_diario
13;ALTOS (13);ALTOS
640;ANGRA 1 (640);ANGRA 1
640;ANGRA 1(640);ANGRA 1
1350;ANGRA 2 (1350);ANGRA 2
36;APARECD OC (36);APARECIDA
166;APARECIDA (166);APARECIDA
11;ARACATI (11);ARACATI
530;BAIXADA FL (530);B.FLUMINENSE
31;BAHIA_1 (31);BAHIA I
11;BATURITE (11);BATURITE
;;BBIOENERGIA
;;BELO JARDIM
;;C.S.TUBARAO
13;C.MAIOR (13);CAMPO MAIOR
25;CAMPOS (25);CAMPOS
350;CANDIOTA_3 (350);CANDIOTA III
350;CANDIOTA_3(350);CANDIOTA III
249;CANOAS (249);CANOAS
15;CAUCAIA (15);CAUCAIA
;;CJ TÉRMICO FIBRIA
;;COCAL
;;COLORADO
;;CONJ TERMELETRICO GUARANI TANABI
;;CONJUNTO CHAPADAO
;;CONJUNTO TERMELETRICO ALTA MOGIANA
;;CONJUNTO TERMELETRICO BIO IPE
;;CONJUNTO TERMELETRICO BIOPAV
;;CONJUNTO TERMELETRICO CACHOEIRA DOURADA
;;CONJUNTO TERMELETRICO DA MATA
;;CONJUNTO TERMELÉTRICO DA MATA
;;CONJUNTO TERMELETRICO EDEIA
;;CONJUNTO TERMELETRICO FIBRIA
;;CONJUNTO TERMELETRICO GUARANI TANABI
;;CONJUNTO TERMELETRICO INTERLAGOS
;;CONJUNTO TERMELETRICO JATAI
;;CONJUNTO TERMELETRICO QUIRINOPOLIS
;;CONJUNTO TERMELETRICO RIO BRILHANTE
;;CONJUNTO TERMELETRICO RIO VERMELHO
;;CONJUNTO TERMELÉTRICO RIO VERMELHO
;;CONJUNTO TERMICO INTERLAGOS
;;CONJUNTO TERMOELETRICO IVINHEMA 2
;;CONJUTO TERMELETRICO KLABIN CELULOSE
;;CONQ. PONTAL
13;CRATO (13);CRATO
85;C. ROCHA (85);CRISTIANO ROCHA
216;CUBATAO (216);CUBATAO
529;CUIABA CC (529);CUIABA
44;DAIA (44);DAIA
235;ATLANTICO (235);DO ATLANTICO
59;E.ROCHA L (59);EUZEBIO ROCHA
157;EROCHA_L1 (157);EUZEBIO ROCHA
59;EUZEBI_L13 (59);EUZEBIO ROCHA
166;GERAMAR1 (166);GERAMAR I
166;GERAMAR2 (166);GERAMAR II
140;GOIANIA 2 (140);GOIANIA II
770;GLBRIZ_L1 (770);GOV.L.BRIZOLA
266;GLBRIZ_L13 (266);GOV.L.BRIZOLA
131;IGARAPE (131);IGARAPE
15;IGUATU (15);IGUATU
;;JAIME BELTRAO
368;JS_PEREIRA (368);JE.SO.PEREIRA
15;JUAZEIRO N (15);JUAZEIRO NORT
87;JUIZ DE FO (87);JUIZ DE FORA
134;LCPRES_L1 (134);L.C.PRESTES
216;LCPRES_L13 (216);L.C.PRESTES
204;LUIZORMELO (204);LUIZ O R MELO
67;MANAUARA (67);MANAUARA
13;MARAMBAIA (13);MARAMBAIA
;;MARITUBA
110;MAUA B3 (110);MAUA BLOCO 3
150;MAUA B4 (150);MAUA BLOCO 4
20;MAUA B1 (20);MAUA BLOCO I
13;NAZARIA (13);NAZARIA
400;NORTEFLU 1 (400);NO.FLUMINENSE
100;NORTEFLU 2 (100);NO.FLUMINENSE
200;NORTEFLU 3 (200);NO.FLUMINENSE
127;NORTEFLU 4 (127);NO.FLUMINENSE
572;NPIRATINGA (572);NOV.PIRATININGA
;;NUTEPA
;;OLIVEIRA
;;P.MEDICI
;;P17 N
;;P17 NE
;;P17 S
;;P17 SE
176;PALMEIR_GO (176);PALMEIRAS GO
;;PARANAPANEMA
;;PCT AOR
;;PCT CEEE
;;PCT CELESC
;;PCT CELG
;;PCT CEMAT
;;PCT CEMIG
;;PCT COELBA
;;PCT CPFL
;;PCT CSF
;;PCT DJB
;;PCT ENERSUL
;;PCT FURNAS
;;PCT LONDRINA
;;PCT MARINGA
;;PCT PBR
;;PCT PIE
;;PEQ TERM PR
;;PEQ TERM RS
;;PEQ TERM SC
136;PETROLINA (136);PETROLINA
;;PIE-RP
720;P.PECEM1 (720);PORTO PECEM I
365;P.PECEM2 (365);PORTO PECEM II
1516;PSERGIPE I (1516);PORTO SERGIPE
55;POTIGUAR (53);POTIGUAR
66;POTIGUAR_3 (66);POTIGUAR III
;;PQU ALPEAL TERM
;;PQU ALPEPB TERM
;;PQU ALPEPE FOTV
;;PQU ALPEPE TERM
;;PQU BAOEBA FOTV
;;PQU BAOEBA TERM
;;PQU BASEBA TERM
;;PQU BASESE TERM
;;PQU CECE FOTOV
;;PQU CEPB FOTOV
;;PQU ESES TERM
;;PQU GOGO TERM
;;PQU MAMA TERM -
;;PQU MGMG FOTOV
;;PQU MGMG TERM
;;PQU MSMS TERM
;;PQU MTGO TERM
;;PQU MTMS TERM
;;PQU MTMT FOTOV
;;PQU MTMT TERM
;;PQU PA TERM
;;PQU PBRNRN FOTV
;;PQU PBRNRN TERM
;;PQU PIPI FOTOV
;;PQU PIPI TERM
;;PQU PRPR TERM
;;PQU RJRJ TERM
;;PQU RSRS TERM
;;PQU SCSC FOTOV
;;PQU SCSC TERM
;;PQU SPSP FOTOV
;;PQU SPSP TERM
;;PQU TON FOTOV
;;PQU TON TERM
28;PROSPERIDA (28);PROSPERIDADE 1
;;REFI ABREU LIMA
;;RIO MADEIRA
120;R.ALMEIDA (120);ROMULOALMEIDA
50;SAO JOSE (50);S.JOSE COLINA
500;SANTA CRUZ (500);SANTA CRUZ
436;ST.CRUZ 34 (436);SANTA CRUZ
;;SANTA RITA
;;SANTANA
;;SANTANA II
;;SAO JERONIMO
;;SEPE TIARAJU
386;SEROPEDICA (386);SEROPEDICA
;;SOENERGY
;;T.PONTA NEGRA
93;TAMBAQUI (93);TAMBAQUI
186;T.BAHIA (186);TERMOBAHIA
50;TERMOCABO (50);TERMOCABO
120;T.CAMACARI (120);TERMOCAMACARI
143;TERMOMANAU(143);TERMOMANAUS
171;TERMONE (171);TERMONORDESTE
;;TERMONORTE I
349;TNORTE 2 (349);TERMONORTE II
171;TERMOPB (171);TERMOPARAIBA
533;TERMOPE (533);TERMOPERNAMBU
1036;TERMORIO (1036);TERMORIO
;;TQUIRINOPOLIS
350;T.LAGOAS (350);TRES LAGOAS
484;ARAUCARIA (484);U.ARAUCARIA
100;J.LAC. A1 (100);U.JLACERDA-A
132;J.LAC. A2 (132);U.JLACERDA-A
262;J.LACER. B (262);U.JLACERDA-B
363;J.LACER. C (363);U.JLACERDA-C
27;N.VEN2_L22 (27);U.NV.VENECIA2
151;N.VEN2_L7 (151);U.NV.VENECIA2
200;PIRAT.12 O (200);U.PIRATININGA
;;U.POTIRENDABA
;;U.S.J.B.VISTA
640;URUGUAIANA (640);U.URUGUAIANA
20;FIGUEIRA (20);US. FIGUEIRA
;;US.CARIOBA
;;US.MANDU
;;USI CAMPOS
;;UT DECASA
;;UT DISTRITO A
;;UT DISTRITO B
;;UT ERB CANDEI
;;UT GUA.TANABI 2
;;UT INTERLAGOS
929;M.LAGO (929);UT MARIO LAGO
;;UT MAUA BL 5A
;;UT MAUA BL 5B
50;O.PINTADA (50);UT ONCA PINTADA
529;T.MACAE (929);UT TERMOMACAE
177;W.ARJONA (177);UT WILL. ARJONA
177;W.ARJONA O;UT WILL. ARJONA
327;FORTALEZA (327);UT. FORTALEZA
;;UT. KLABIN CE
;;UT. PUMA II
169;CAMPINA_GR(169);UT.CAM.GRANDE
226;IBIRITE (226);UT.IBIRITE
168;MARACANAU(168);UT.MARACANAU1
519;MARANHAO3(519);UT.MARANHAO 3
338;MARANHAOIV(338);UT.MARANHAO 4
