Data;Tipo;Cotações em Real1/;
;;Compra;Venda
03/01/2022;A;5.6303;5.6309
04/01/2022;A;5.677;5.6776
05/01/2022;A;5.6622;5.6628
06/01/2022;A;5.7036;5.7042
07/01/2022;A;5.6747;5.6753
10/01/2022;A;5.673;5.6736
11/01/2022;A;5.6345;5.6351
12/01/2022;A;5.5605;5.5611
13/01/2022;A;5.524;5.5246
14/01/2022;A;5.5343;5.5349
17/01/2022;A;5.5052;5.5058
18/01/2022;A;5.5207;5.5213
19/01/2022;A;5.4972;5.4978
20/01/2022;A;5.416;5.4166
21/01/2022;A;5.4395;5.4401
24/01/2022;A;5.4904;5.491
25/01/2022;A;5.4965;5.4971
26/01/2022;A;5.4318;5.4324
27/01/2022;A;5.3806;5.3812
28/01/2022;A;5.3948;5.3954
31/01/2022;A;5.3568;5.3574
01/02/2022;A;5.2804;5.281
02/02/2022;A;5.295;5.2956
03/02/2022;A;5.3019;5.3025
04/02/2022;A;5.3278;5.3284
07/02/2022;A;5.2907;5.2913
08/02/2022;A;5.2693;5.2699
09/02/2022;A;5.2729;5.2735
10/02/2022;A;5.2095;5.2101
11/02/2022;A;5.1981;5.1987
14/02/2022;A;5.21;5.2106
15/02/2022;A;5.1875;5.1881
16/02/2022;A;5.1624;5.163
17/02/2022;A;5.1559;5.1565
18/02/2022;A;5.1333;5.1339
21/02/2022;A;5.0991;5.0997
22/02/2022;A;5.0605;5.0611
23/02/2022;A;5.0137;5.0143
24/02/2022;A;5.1168;5.1174
