Usina;26/02/2022;19/02/2022;29/01/2022;22/01/2022;15/01/2022;01/01/2022;25/12/2021;11/12/2021;04/12/2021;27/11/2021;20/11/2021;13/11/2021;30/10/2021;23/10/2021;16/10/2021;09/10/2021;02/10/2021;18/09/2021;11/09/2021;04/09/2021;21/08/2021;14/08/2021;07/08/2021;31/07/2021;24/07/2021;17/07/2021;10/07/2021;03/07/2021;26/06/2021;19/06/2021;12/06/2021;05/06/2021;29/05/2021;15/05/2021;08/05/2021;01/05/2021;24/04/2021;17/04/2021;10/04/2021;03/04/2021;27/03/2021;13/03/2021;06/03/2021;27/02/2021;20/02/2021;13/02/2021;06/02/2021;30/01/2021;23/01/2021;16/01/2021;09/01/2021;02/01/2021;19/12/2020;05/12/2020;28/11/2020;21/11/2020;31/10/2020;17/10/2020;10/10/2020;03/10/2020;26/09/2020;19/09/2020;12/09/2020;05/09/2020;29/08/2020;22/08/2020;08/08/2020;01/08/2020;25/07/2020;18/07/2020;11/07/2020;04/07/2020;27/06/2020;20/06/2020;13/06/2020;06/06/2020;23/05/2020;16/05/2020;09/05/2020;02/05/2020;25/04/2020;18/04/2020;11/04/2020;04/04/2020;28/03/2020;21/03/2020;14/03/2020;07/03/2020;22/02/2020;15/02/2020;08/02/2020;01/02/2020;25/01/2020;18/01/2020;11/01/2020;04/01/2020;28/12/2019;14/12/2019;07/12/2019;30/11/2019;23/11/2019;26/10/2019;19/10/2019
ALTOS (13);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;1024.39;1024.39;1024.39;1024.39;1024.39;1024.39;1024.39;1024.34;1024.34;1024.21;1024.21;1024.21;1024.21;1024.18;1024.18;1024.18;1024.18;1023.94;1023.94;1023.94;1023.8;1023.8;1023.8;1023.8;1023.8;1023.66;1023.66;1023.66;1023.33;1023.33;1023.33;1023.33;1023.33;1023.29;1023.29;1023.29;1023.29;1022.99;1022.99;1022.99;1022.92;1022.92;1022.92;1022.92;1009.78;1009.78;1009.78;1009.78;1009.78;1009.78;1009.78;1009.78;1009.74;1009.74;1009.64
ANGRA 1 (640);31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17;31.17
ANGRA 2 (1350);20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;NA
APARECD OC (36);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99;905.99
APARECIDA (166);183.93;183.93;130.12;130.12;130.12;164.07;164.07;164.07;182.53;182.53;182.19;182.19;166.31;164;164;164;128.41;128.41;128.41;118.96;118.96;118.96;118.96;106.99;106.99;106.99;96.11;96.11;96.11;96.11;96.11;98.28;98.28;98.28;98.28;90.75;90.75;90.75;90.75;94.62;94.62;91.57;91.57;91.57;82.15;82.15;82.15;82.15;82.15;82.15;82.15;95.66;95.66;68.55;100.92;100.7;68.11;68.11;68.11;68.11;68.11;68.11;68.11;68.11;68.11;67.79;67.79;58.99;58.99;58.99;58.99;67.79;67.05;67.05;67.05;67.05;67.05;67.05;67.05;59.95;59.95;59.95;59.95;59.61;59.61;59.61;59.61;59.61;59.08;59.08;59.08;63.95;63.95;63.95;63.95;70.25;70.25;70.25;70.25;71.83;71.8;69.06;68.5
APOENA (147);1834.44;1834.29;1834.29;1834.28;1834.28;1834.28;1834.27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ARACATI (11);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;1024.39;1024.39;1024.39;1024.39;1024.39;1024.39;1024.39;1024.34;1024.34;1024.21;1024.21;1024.21;1024.21;1024.18;1024.18;1024.18;1024.18;1023.94;1023.94;1023.94;1023.8;1023.8;1023.8;1023.8;1023.8;1023.66;1023.66;1023.66;1023.33;1023.33;1023.33;1023.33;1023.33;1023.29;1023.29;1023.29;1023.29;1022.99;1022.99;1022.99;1022.92;1022.92;1022.92;1022.92;1009.78;1009.78;1009.78;1009.78;1009.78;1009.78;1009.78;1009.78;1009.74;1009.74;1009.64
ARAUCARIA (484);706.35;1664.72;706.35;1552.15;1955.21;706.35;2084.34;2084.34;2084.34;706.35;706.35;2553.2;2553.2;2553.2;2553.2;2013.18;1708.19;1276.44;1276.44;1276.44;1083.21;1083.21;1083.21;1083.21;1138.07;1138.07;1138.07;1138.07;934.91;1054.56;1054.56;1054.56;934.91;936.86;936.86;936.86;699.11;699.11;699.11;652.6;652.6;652.6;652.6;908.31;908.31;908.31;468.39;1025.09;1025.09;697.55;697.55;468.39;461.58;461.58;461.58;630.54;630.54;630.54;630.54;641.69;641.69;641.69;641.69;641.69;641.69;614.75;614.75;614.75;556.16;556.16;556.16;556.16;556.16;471.95;471.95;471.95;471.95;471.95;0;0;681.79;681.79;681.79;681.79;681.79;681.79;NA;681.79;681.79;694.77;694.77;694.77;694.77;694.77;694.77;694.77;678.18;678.18;678.18;678.18;678.18;678.18;678.18
AREMBEPE (150);NA;NA;NA;NA;NA;NA;NA;1834.27;1834.27;1834.27;1363.3;1363.3;1363.3;1023.93;1023.93;1023.93;1023.93;1023.71;1023.71;1023.71;1022.13;1022.13;1022.13;1022.13;1021.36;1021.36;1021.36;1021.36;1021.36;1021.02;1021.02;1021.02;1021.02;1020.68;1020.68;1020.68;1019.77;1019.77;1019.77;1019.77;1019.77;1019.08;1019.08;1019.08;1019.02;1019.02;1019.02;1019.02;1019.02;1019.02;1019.02;1019.02;1019.01;1019.01;1019.01;1040.88;1040.88;1167.53;1167.53;1167.53;1167.53;1167.47;1167.47;1167.47;1167.47;1167.07;1167.07;1167.07;1166.88;1166.88;1166.88;1166.88;1166.88;1166.81;1166.81;1166.81;1166.31;1166.31;1166.31;1166.31;1166.31;1166.28;1166.28;1166.28;1166.28;1165.86;1165.86;1165.86;1165.81;1165.81;1165.81;1165.81;1165.8;1165.8;1165.8;1165.8;1165.8;1165.82;1165.82;1165.82;1118.1;1118.1;1115
ATLANTICO (235);209.96;208.7;208.7;208.69;208.69;208.58;208.58;208.58;208.58;207.47;207.47;207.47;206.42;206.42;206.42;206.42;206.42;206.08;206.08;206.08;204.31;204.31;204.31;204.22;202.37;202.37;202.37;202.37;202.37;199.08;199.08;199.08;199.08;198.25;198.25;198.25;195.8;195.8;195.8;195.8;195.8;194.37;194.37;194.37;193.84;193.84;193.84;193.84;193.82;193.82;193.82;193.82;193.73;193.73;193.73;193.11;193.11;192.78;192.78;192.78;192.78;192.7;192.7;192.7;192.7;192.23;192.23;192.23;191.73;191.73;191.73;191.73;191.73;190.99;190.99;190.99;190.5;190.5;190.5;190.5;190.5;189.52;189.52;189.52;189.52;188.62;188.62;188.62;188.17;188.17;188.17;188.17;188.16;188.16;188.16;188.16;188.16;188.36;188.36;188.36;188.08;188.08;187.82
BAHIA_1 (31);NA;NA;NA;NA;NA;NA;NA;1488.9;1488.9;1488.9;1092.7;1092.7;1092.7;819.91;819.91;819.91;819.91;819.79;819.79;819.79;819.14;819.14;819.14;819.14;818.43;818.43;818.43;818.43;818.43;817.22;817.22;817.22;817.22;816.92;816.92;816.92;816.03;816.03;816.03;816.03;816.03;815.5;815.5;815.5;815.31;815.31;815.31;815.31;815.3;815.3;815.3;815.3;815.27;815.27;815.27;749.72;749.72;731.06;731.06;731.06;731.06;731.03;731.03;731.03;731.03;730.86;730.86;730.86;730.68;730.68;730.68;730.68;730.68;730.41;730.41;730.41;730.23;730.23;730.23;730.23;730.23;729.87;729.87;729.87;729.87;729.54;729.54;729.54;729.38;729.38;729.38;729.38;729.37;729.37;729.37;729.37;729.37;729.44;729.44;729.44;861.9;861.9;994.23
BAIXADA FL (530);419.71;419.71;279.17;279.17;279.17;367.84;367.84;367.84;416.04;416.04;415.91;415.91;374.43;373.48;373.48;373.48;280.55;280.55;280.55;255.86;255.86;255.86;255.86;224.6;224.6;224.6;224.6;196.19;196.19;196.19;196.19;201.85;201.85;201.85;201.85;182.2;182.2;182.2;182.2;192.3;192.3;192.3;192.3;184.34;184.34;184.34;184.34;159.73;159.73;159.73;159.73;195.03;195.03;187.58;187.58;187.49;129.5;129.2;129.2;158.04;158.04;158.04;158.04;112.83;112.83;112.83;112.83;91.57;91.57;91.57;91.57;112.08;112.08;112.08;112.08;112.08;110.35;110.35;110.35;93.79;93.79;93.79;93.79;93;93;93;93;93;91.77;91.77;91.77;103.14;103.14;103.14;103.14;117.82;117.82;117.82;117.82;121.51;121.5;115.11;114.88
BATURITE (11);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;1024.39;1024.39;1024.39;1024.39;1024.39;1024.39;1024.39;1024.34;1024.34;1024.21;1024.21;1024.21;1024.21;1024.18;1024.18;1024.18;1024.18;1023.94;1023.94;1023.94;1023.8;1023.8;1023.8;1023.8;1023.8;1023.66;1023.66;1023.66;1023.33;1023.33;1023.33;1023.33;1023.33;1023.29;1023.29;1023.29;1023.29;1022.99;1022.99;1022.99;1022.92;1022.92;1022.92;1022.92;1009.78;1009.78;1009.78;1009.78;1009.78;1009.78;1009.78;1009.78;1009.74;1009.74;1009.64
C.MAIOR (13);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;881.41;1024.39;1024.39;1024.39;1024.39;1024.39;1024.39;1024.39;1024.34;1024.34;1024.21;1024.21;1024.21;1024.21;1024.18;1024.18;1024.18;1024.18;1023.94;1023.94;1023.94;1023.8;1023.8;1023.8;1023.8;1023.8;1023.66;1023.66;1023.66;1023.33;1023.33;1023.33;1023.33;1023.33;1023.29;1023.29;1023.29;1023.29;1022.99;1022.99;1022.99;1022.92;1022.92;1022.92;1022.92;1009.78;1009.78;1009.78;1009.78;1009.78;1009.78;1009.78;1009.78;1009.74;1009.74;1009.64
